i, nrow, alfa, Max_It, b, W1, W2, W3, W4, Ite, Aciertos
1,252,-2.7756e-17,200,0.78418,0.13488,-0.96787,-0.14897,-0.94124,200,1
2,253,-2.7756e-17,300,-69.715,0.96163,0.37989,0.55937,0.19596,300,1
3,254,-2.7756e-17,400,-1.8492,0.49251,0.38775,-0.11495,-0.16174,2,2
4,255,-2.7756e-17,500,-31.296,0.080584,-0.60728,0.49837,0.43132,500,1
5,256,-2.7756e-17,600,-89.658,0.47257,0.31337,0.78219,-0.017841,600,1
6,257,-2.7756e-17,700,0.8076,0.92542,-0.75011,-0.58278,-0.69006,700,1
7,258,-2.7756e-17,800,-18.311,-0.86527,-0.018794,0.19684,-0.26996,800,1
8,259,-2.7756e-17,900,-116.99,0.71381,0.80128,0.90299,0.80009,900,1
9,260,-2.7756e-17,1000,-12.669,-0.91614,0.74178,-0.1112,-0.11492,8,2
0,261,-2.7756e-17,1100,-102.98,0.87935,0.42568,0.87781,0.061912,1100,1
1,262,-2.7756e-17,1200,-61.449,0.64078,-0.42501,0.73476,0.72042,1200,1
2,263,-2.7756e-17,1300,0.050938,-0.085523,0.70005,-0.30444,-0.52308,1300,2
3,264,-2.7756e-17,1400,-85.296,-0.73008,0.15627,0.80874,0.54233,1400,1
4,265,-2.7756e-17,1500,-80.449,-0.15518,0.91571,0.51118,-0.26799,1500,1
5,266,-2.7756e-17,1600,-31.578,-0.55714,-0.48811,0.47051,-0.36891,1600,0
6,267,-2.7756e-17,1700,0.72801,0.49688,-0.29382,-0.10708,-0.93213,1700,1
7,268,-2.7756e-17,1800,0.030952,0.24275,-0.74841,-0.56909,-0.38325,1800,1
8,269,-2.7756e-17,1900,0.80275,-0.59709,-0.86514,-0.9997,0.27286,1900,1
9,270,-2.7756e-17,2000,0.19414,-0.21132,-0.47453,-0.43234,0.42729,2000,1
0,271,-2.7756e-17,2100,-72.12,0.16016,-0.50506,0.87181,0.12911,2100,1
1,272,-2.7756e-17,2200,-25.936,0.98535,0.89251,-0.043247,-0.75001,2200,1
2,273,-2.7756e-17,2300,-88.175,-0.22667,0.11649,0.84486,0.86862,2300,1
3,274,-2.7756e-17,2400,-75.549,-0.63284,-0.21378,0.82556,0.068341,2400,1
4,275,-2.7756e-17,2500,0.71397,-0.42881,0.24555,-0.63646,0.85429,2500,1
5,276,-2.7756e-17,2600,-93.886,0.66474,-0.0070348,0.92643,0.68663,2600,1
6,277,-2.7756e-17,2700,0.94846,0.87236,0.37673,-0.38578,0.72131,2700,1
7,278,-2.7756e-17,2800,0.81502,0.36368,0.12639,-0.70005,0.97242,2800,1
8,279,-2.7756e-17,2900,0.27621,0.82444,0.36793,-0.39394,0.46359,2900,1
9,280,-2.7756e-17,3000,0.74402,0.23048,-0.4103,0.036551,0.47785,3000,1
0,281,-2.7756e-17,3100,0.932,-0.19308,-0.67814,-0.9552,-0.78824,3100,1
1,282,-2.7756e-17,3200,0.081003,0.2311,0.26657,-0.98663,-0.57027,3200,1
2,283,-2.7756e-17,3300,0.26885,-0.67707,-0.81639,-0.73173,-0.85641,3300,1
3,284,-2.7756e-17,3400,-104.4,-0.91987,0.48816,0.88967,-0.55728,3400,1
4,285,-2.7756e-17,3500,0.92989,-0.12781,-0.65288,-0.61021,-0.62176,3500,1
5,286,-2.7756e-17,3600,0.84981,-0.018912,0.59265,-0.6304,-0.54443,3600,1
6,287,-2.7756e-17,3700,0.38234,-0.011426,0.97148,-0.65555,0.90021,3700,1
7,288,-2.7756e-17,3800,0.18171,-0.10473,-0.28022,-0.71107,0.63328,3800,1
8,289,-2.7756e-17,3900,0.43032,0.66595,-0.18741,-0.1571,0.066508,3900,1
9,290,-2.7756e-17,4000,0.35785,-0.99516,0.32932,-0.48642,0.18385,4000,1
0,291,-2.7756e-17,4100,-30.539,0.096107,0.56138,0.11776,-0.39662,4100,1
1,292,-2.7756e-17,4200,-102.25,0.84184,0.77236,0.75895,0.94069,4200,1
2,293,-2.7756e-17,4300,-21.911,-0.96891,0.98468,-0.088474,0.040997,13,2
3,294,-2.7756e-17,4400,-24.313,0.57021,0.43539,0.090803,0.48827,4400,1
4,295,-2.7756e-17,4500,0.68738,0.22259,-0.83532,-0.246,-0.19006,4500,1
5,296,-2.7756e-17,4600,-27.155,-0.18997,0.10893,0.23653,-0.16508,4600,1
6,297,-2.7756e-17,4700,0.21737,0.10302,0.6263,-0.36921,0.71873,4700,1
7,298,-2.7756e-17,4800,0.96447,-0.76929,-0.82826,-0.69073,0.60436,4800,1
8,299,-2.7756e-17,4900,0.18662,-0.60642,0.5561,-0.94703,-0.77224,4900,1
9,300,-2.7756e-17,5000,0.95021,0.85081,0.09942,-0.93765,0.75311,5000,1
0,301,0.1,100,-7.1995,-0.3844,5.1658,-1.7604,-0.53949,12,2
1,302,0.1,200,-26.563,-0.23801,17.927,-5.7384,0.28358,39,2
2,303,0.1,300,-11.286,0.47443,7.7738,-2.4766,-0.084383,17,2
3,304,0.1,400,-23.055,-1.3338,16.671,-5.3898,0.36135,34,2
4,305,0.1,500,-23.095,-0.37127,16.141,-5.2372,0.13849,34,2
5,306,0.1,600,-23.333,-0.97889,16.56,-5.2474,-0.85652,34,2
6,307,0.1,700,0.028783,0.62156,0.79541,-0.30657,-0.96819,1,2
7,308,0.1,800,-23.207,-0.35072,16.779,-5.4746,0.93161,34,2
8,309,0.1,900,-4.375,-0.090114,2.9045,-1.0537,0.80746,7,2
9,310,0.1,1000,-10.865,-0.35135,8.4588,-2.6967,-0.90104,17,2
0,311,0.1,1100,-10.746,-1.4203,8,-2.5793,-0.048019,17,2
1,312,0.1,1200,-10.894,-1.4021,8.7166,-2.921,0.28111,17,2
2,313,0.1,1300,-19.168,-0.69577,14.058,-4.6313,-0.59709,28,2
3,314,0.1,1400,-23.278,-0.40559,16.371,-5.213,-0.68063,34,2
4,315,0.1,1500,-18.918,-0.59218,13.494,-4.4085,0.56405,28,2
5,316,0.1,1600,-11.839,0.41954,7.5103,-2.4405,0.59004,18,2
6,317,0.1,1700,-18.38,-0.49175,13.894,-4.5289,0.50446,28,2
7,318,0.1,1800,-7.8849,0.63928,6.0659,-1.9932,-0.98824,12,2
8,319,0.1,1900,-7.6715,-1.1581,5.8739,-1.8928,0.43904,12,2
9,320,0.1,2000,-26.26,-2.1746,17.84,-5.734,-0.96958,39,2
0,321,0.1,2100,-19.365,0.099132,13.156,-4.2096,0.0801,29,2
1,322,0.1,2200,-18.39,-0.88531,12.419,-4.0793,-0.36258,28,2
2,323,0.1,2300,-18.752,-0.054278,13.602,-4.5079,-0.53195,28,2
3,324,0.1,2400,-26.853,-1.4144,19.11,-6.2149,-0.46916,39,2
