Periodo,Desocupacion,Actividad,subocupacion_no_demandante,empleo,subocupacion_demandante,provincia_id
20081,5.8,40.3,0.9,38.0,5.8,22
20082,6.1,40.8,1.5,38.3,5.7,22
20083,5.0,40.8,1.3,38.7,6.0,22
20084,3.1,38.5,2.4,37.3,6.3,22
20091,5.2,38.7,1.0,36.7,5.0,22
20092,4.7,38.7,1.8,36.9,11.0,22
20093,6.1,38.2,2.1,35.9,9.1,22
20094,5.4,38.7,1.8,36.6,9.0,22
20101,6.9,37.3,0.8,34.7,9.2,22
20102,6.2,37.2,0.6,34.9,7.2,22
20103,5.6,37.6,0.2,35.4,7.3,22
20104,5.5,37.9,1.0,35.9,7.7,22
20111,6.3,38.5,0.5,36.1,7.1,22
20112,6.1,39.1,1.1,36.7,6.7,22
20113,9.2,41.2,1.8,37.4,9.9,22
20114,6.3,38.2,0.8,35.8,9.4,22
20121,7.3,39.2,0,36.3,11.4,22
20122,10.0,41.4,1.4,37.3,7.8,22
20123,7.5,43.7,7.9,40.4,4.6,22
20124,6.7,39.6,2.1,37.0,9.0,22
20131,4.6,39.9,0.8,38.1,11.5,22
20032,0,0,0,0,0,22
20063,7.3,39.8,0.9,36.9,4.7,22
20064,4.6,39.6,1.8,37.8,6.7,22
20031,0,0,0,0,0,2
20033,0,0,0,0,0,2
20034,0,0,0,0,0,2
20041,0,0,0,0,0,2
20042,0,0,0,0,0,2
20043,0,0,0,0,0,2
20044,0,0,0,0,0,2
20051,0,0,0,0,0,2
20052,0,0,0,0,0,2
20053,0,0,0,0,0,2
20054,0,0,0,0,0,2
20061,0,0,0,0,0,2
20062,0,0,0,0,0,2
20071,14.2,41.9,1.4,35.9,6.3,2
20072,11.0,41.6,1.3,37.0,7.2,2
20073,9.1,39.9,0.7,36.2,5.8,2
20074,9.6,39.6,0.6,35.8,4.7,2
20081,9.1,39.9,0.8,36.3,3.1,2
20082,9.6,41.2,0.8,37.2,4.9,2
20083,7.2,40.6,0.1,37.7,3.7,2
20084,8.4,39.8,0.8,36.5,2.3,2
20091,10.2,41.2,0.6,37.0,3.6,2
20092,8.4,42.7,0.5,39.2,5.0,2
20093,8.6,39.5,0.4,36.1,4.2,2
20094,9.9,40.0,0.8,36.1,4.0,2
20101,10.0,41.6,0.5,37.4,2.9,2
20102,8.9,40.0,0.3,36.5,3.5,2
20103,9.0,40.7,0.9,37.1,4.3,2
20104,8.5,41.3,0.8,37.8,3.9,2
20111,12.2,42.0,0.5,36.9,6.4,2
20112,9.0,41.0,1.6,37.3,6.8,2
20113,10.4,43.9,1.3,39.3,7.6,2
20114,7.5,43.1,0.2,39.8,7.5,2
20121,8.9,41.7,0.4,38.0,5.4,2
20122,11.7,42.5,0.8,37.6,5.1,2
20123,9.4,41.3,1.4,37.4,9.2,2
20124,6.2,41.6,2.1,39.0,6.5,2
20131,9.8,43.6,1.1,39.3,4.9,2
20031,21.2,41.7,4.8,32.9,19.0,24
20033,12.9,39.6,4.1,34.5,17.1,24
20034,15.2,42.7,5.4,36.2,15.6,24
20041,16.5,41.6,3.0,34.8,13.2,24
20042,13.6,37.9,3.6,32.7,14.9,24
20043,14.4,40.2,2.4,34.4,13.2,24
20044,11.4,41.2,2.6,36.5,14.1,24
20051,14.2,40.9,3.0,35.1,15.5,24
20052,11.3,40.4,3.9,35.8,12.5,24
20053,13.1,42.1,5.3,36.6,10.0,24
20054,10.9,41.9,4.2,37.3,8.4,24
20061,13.4,40.8,4.2,35.3,11.1,24
20062,11.8,40.3,2.7,35.5,12.4,24
20071,11.8,40.9,4.2,36.0,9.5,24
20072,9.8,39.7,4.1,35.8,7.4,24
20073,8.0,41.8,3.6,38.5,5.3,24
20074,8.2,41.4,3.6,38.0,6.3,24
20081,11.5,40.6,2.4,35.9,4.9,24
20082,7.7,41.6,2.1,38.4,6.8,24
20083,7.7,42.9,3.0,39.6,5.5,24
20084,9.7,43.9,2.0,39.6,5.2,24
20091,11.8,41.3,3.0,36.4,5.8,24
20092,9.7,41.2,2.8,37.1,5.4,24
20093,10.0,44.3,1.3,39.9,4.4,24
20094,8.1,44.8,1.7,41.2,6.2,24
20101,8.7,44.2,2.6,40.3,6.3,24
20102,5.2,44.6,2.3,42.3,9.2,24
20103,5.4,43.3,1.5,40.9,6.5,24
20104,5.6,42.5,2.5,40.2,5.3,24
20111,4.9,42.9,2.9,40.8,8.2,24
20112,4.4,43.3,2.1,41.3,5.0,24
20113,3.3,43.6,2.6,42.1,5.5,24
20114,3.1,43.6,1.9,42.2,5.5,24
20121,4.5,44.0,1.1,42.0,4.2,24
20122,3.8,42.8,1.6,41.2,8.3,24
20123,4.3,42.8,2.2,41.0,6.5,24
20124,3.9,43.3,1.2,41.6,4.1,24
20131,5.7,43.4,2.6,40.9,6.4,24
20032,15.0,39.2,6.6,33.3,16.1,24
20063,11.3,42.0,3.2,37.3,7.5,24
20064,9.4,42.5,3.9,38.5,8.6,24
20031,0,0,0,0,0,8
20033,0,0,0,0,0,8
20034,0,0,0,0,0,8
20041,0,0,0,0,0,8
20042,0,0,0,0,0,8
20043,0,0,0,0,0,8
20044,0,0,0,0,0,8
20051,0,0,0,0,0,8
20052,0,0,0,0,0,8
20053,0,0,0,0,0,8
20054,0,0,0,0,0,8
20061,0,0,0,0,0,8
20062,0,0,0,0,0,8
20071,7.9,39.4,1.0,36.3,5.5,8
20072,5.7,39.0,2.3,36.8,7.0,8
20073,6.7,38.5,1.3,35.9,6.5,8
20074,6.1,37.8,1.3,35.5,6.3,8
20081,6.9,38.0,1.9,35.3,4.5,8
20082,6.8,38.3,1.5,35.7,6.6,8
20083,6.9,37.0,0.8,34.4,6.7,8
20084,5.5,38.8,1.5,36.6,4.8,8
20091,7.5,38.1,2.2,35.2,9.3,8
20092,6.5,39.4,1.7,36.9,6.1,8
20093,6.9,38.0,0.9,35.4,6.9,8
20094,5.6,40.5,2.4,38.2,5.4,8
20101,10.6,41.0,0.7,36.7,5.9,8
20102,10.5,41.7,3.3,37.3,8.5,8
20103,6.0,39.7,3.0,37.4,9.1,8
20104,4.2,39.0,0.9,37.4,7.4,8
20111,7.4,37.6,1.5,34.8,6.5,8
20112,6.7,41.3,1.2,38.6,5.6,8
20113,5.1,38.9,0.7,36.9,5.1,8
20114,5.1,38.5,1.5,36.6,3.7,8
20121,5.9,37.9,1.9,35.7,5.8,8
20122,5.5,40.8,1.5,38.5,8.9,8
20123,4.5,39.2,0.9,37.4,6.5,8
20124,2.9,36.1,1.1,35.1,5.2,8
20131,7.2,36.1,0.7,33.5,4.6,8
20032,0,0,0,0,0,8
20063,9.3,41.2,3.4,37.4,6.9,8
20064,6.2,40.9,2.4,38.4,5.8,8
20031,23.6,45.6,4.9,34.8,14.0,6
20033,14.7,43.1,6.0,36.8,10.2,6
20034,11.7,45.4,5.4,40.1,11.0,6
20041,13.9,44.0,5.2,37.9,12.1,6
20042,16.0,45.8,3.4,38.5,12.6,6
20043,11.9,43.7,2.9,38.5,11.9,6
20044,11.5,44.7,2.1,39.6,13.4,6
20051,12.4,42.3,2.3,37.1,9.9,6
20052,12.3,44.2,1.3,38.7,6.8,6
20053,9.4,43.6,2.1,39.5,9.2,6
20054,8.7,45.0,1.6,41.1,11.5,6
20061,10.0,45.5,2.2,41.0,9.6,6
20062,8.4,45.1,1.6,41.3,11.7,6
20071,9.7,47.6,1.5,43.0,8.9,6
20072,7.7,47.0,1.7,43.4,8.1,6
20073,8.6,45.6,0.8,41.7,6.0,6
20074,8.6,45.7,1.5,41.8,7.2,6
20081,9.5,45.2,0.8,40.9,7.0,6
20082,6.5,46.9,1.8,43.9,8.8,6
20083,5.7,45.5,1.9,42.9,8.6,6
20084,7.6,46.1,2.1,42.6,8.8,6
20091,9.1,45.3,2.6,41.2,8.8,6
20092,9.9,46.4,1.6,41.8,10.0,6
20093,10.8,47.9,1.8,42.7,10.3,6
20094,9.4,44.6,1.8,40.4,9.0,6
20101,9.3,45.6,2.3,41.3,8.0,6
20102,8.4,45.0,2.1,41.2,9.5,6
20103,7.0,45.7,1.7,42.4,10.3,6
20104,7.5,45.5,1.2,42.1,7.1,6
20111,8.4,48.9,1.8,44.7,7.3,6
20112,6.6,47.2,1.8,44.1,7.8,6
20113,7.6,45.9,1.7,42.4,8.6,6
20114,6.1,45.6,1.9,42.8,8.6,6
20121,9.4,46.2,1.8,41.8,8.3,6
20122,8.6,48.5,2.8,44.3,8.1,6
20123,8.9,48.5,3.1,44.2,7.6,6
20124,7.7,48.3,2.0,44.6,10.8,6
20131,10.8,45.7,1.6,40.7,7.8,6
20031,0,0,0,0,0,12
20033,0,0,0,0,0,12
20034,0,0,0,0,0,12
20041,0,0,0,0,0,12
20042,0,0,0,0,0,12
20043,0,0,0,0,0,12
20044,0,0,0,0,0,12
20051,0,0,0,0,0,12
20052,0,0,0,0,0,12
20053,0,0,0,0,0,12
20054,0,0,0,0,0,12
20061,0,0,0,0,0,12
20062,0,0,0,0,0,12
20071,8.1,44.7,3.3,41.1,4.0,12
20072,9.6,45.3,3.0,40.9,3.3,12
20073,8.7,44.6,2.5,40.8,4.6,12
20074,6.8,44.2,1.9,41.2,4.0,12
20081,7.8,44.3,1.5,40.8,3.9,12
20082,8.1,45.1,1.8,41.5,4.4,12
20083,5.9,42.7,2.2,40.2,3.9,12
20084,6.4,41.9,1.2,39.2,6.0,12
20091,8.4,42.0,1.1,38.5,6.7,12
20092,7.7,41.6,1.1,38.4,5.6,12
20093,5.8,42.0,0,39.6,2.6,12
20094,5.1,42.9,0.9,40.7,3.3,12
20101,7.1,41.3,0.7,38.4,3.8,12
20102,3.8,39.6,1.4,38.1,2.7,12
20103,4.8,42.3,1.3,40.3,2.0,12
20104,6.8,42.8,0.4,39.9,1.4,12
20111,6.2,42.7,3.3,40.0,7.0,12
20112,5.8,43.9,2.9,41.4,6.8,12
20113,3.9,43.1,1.9,41.4,5.4,12
20114,3.4,41.7,1.9,40.3,3.5,12
20121,5.3,42.0,0.6,39.7,4.3,12
20122,4.5,43.0,1.8,41.1,5.2,12
