"","recno","TYCID1","TYCID2","TYCID3","RA_J2000","DE_J2000","pmRA","pmDE","BT","VT","V","BV","HD","HIP","Plx","indexcandidate","hyades","clusterNum"
"825",6276,90,279,1,4.56143,5.06133,-7.2,-132.5,10.185,9.217,9.13,0.823,"28931","NULL",0,1064,0,3
"826",6277,90,298,1,4.62104,3.84328,-6.1,-44.6,10.492,9.803,9.741,0.586,"29322","NULL",0,1065,0,3
"834",6288,90,701,1,4.53059,4.55316,42.4,-13.1,11.614,10.46,10.356,0.981,"NULL","NULL",0,1076,0,3
"836",6290,90,710,1,4.5547,5.4932,48.3,-9.1,12.073,10.888,10.781,1.007,"NULL","NULL",0,1078,0,3
"840",6294,90,788,1,4.58082,4.44151,18.9,-23.6,11.744,10.947,10.875,0.677,"NULL","NULL",0,1082,0,3
"844",6298,90,887,1,4.61846,4.78515,-0.8,-58.1,11.4,10.723,10.662,0.575,"NULL","NULL",0,1086,0,3
"847",6301,90,1001,1,4.6078,4.61795,10.2,-34.5,11.433,10.729,10.666,0.598,"NULL","NULL",0,1089,0,3
"849",6304,90,1035,1,4.58971,4.9907,10.7,-24.5,11.551,10.678,10.599,0.742,"NULL","NULL",0,1092,0,3
"853",6309,90,1182,1,4.59803,4.29859,10.8,-36.3,10.803,10.114,10.052,0.586,"NULL","NULL",0,1097,0,3
"855",6311,90,1257,1,4.54071,4.22572,140.4,-5.7,11.102,10.332,10.263,0.655,"NULL","NULL",0,1099,0,3
"858",6315,91,37,1,4.66289,5.49067,7.5,-31.7,11.132,10.536,10.482,0.507,"NULL","NULL",0,1103,0,3
"859",6316,91,82,1,4.63097,5.05239,18.5,-59.3,11.841,10.992,10.916,0.722,"NULL","NULL",0,1104,0,3
"860",6317,91,96,1,4.64784,5.42967,55,-25.7,11.04,10.308,10.242,0.622,"NULL","NULL",0,1105,0,3
"871",6329,91,318,1,4.68098,5.5228,45.2,-17.5,9.918,9.369,9.32,0.467,"29699","NULL",0,1117,0,3
"877",6336,91,432,1,4.63193,5.27427,88.5,-32.2,11.099,10.38,10.315,0.611,"NULL","NULL",0,1124,0,3
"896",6356,91,831,1,4.72945,4.7333,85.9,-34,9.831,9.252,9.2,0.492,"29989","NULL",0,1144,0,3
"945",6408,92,183,1,4.81117,4.03636,21.1,-19.4,11.707,10.687,10.595,0.867,"NULL","NULL",0,1196,0,3
"948",6411,92,208,1,4.78067,4.64243,27.7,-27,11.098,10.395,10.332,0.598,"NULL","NULL",0,1199,0,3
"960",6423,92,389,1,4.81221,3.95768,14.9,-56.5,11.202,10.088,9.988,0.947,"NULL","NULL",0,1211,0,3
"961",6425,92,445,1,4.84424,4.96974,58.3,-32.3,10.541,9.884,9.825,0.558,"NULL","NULL",0,1213,0,3
"966",6430,92,498,1,4.83986,4.65481,22,-31.7,10.905,9.677,9.566,1.044,"NULL","NULL",0,1218,0,3
"970",6435,92,542,1,4.85824,5.26486,61.6,-7.7,11.071,9.922,9.819,0.977,"NULL","NULL",0,1223,0,3
