"RA_J2000","DE_J2000"
4.4927,5.75318
4.43089,6.07857
4.40293,6.11054
4.42231,5.0823
4.57594,3.68566
4.53431,3.56399
4.61253,3.6397
4.60204,3.42183
4.72201,3.59788
4.70378,3.70436
4.73844,3.43053
4.86061,3.47978
4.96057,3.4515
4.61216,4.10818
4.58154,4.99327
4.56143,5.06133
4.62104,3.84328
4.53059,4.55316
4.5547,5.4932
4.58082,4.44151
4.61846,4.78515
4.6078,4.61795
4.58971,4.9907
4.59803,4.29859
4.54071,4.22572
4.66289,5.49067
4.63097,5.05239
4.64784,5.42967
4.68098,5.5228
4.63193,5.27427
4.72945,4.7333
4.81117,4.03636
4.78067,4.64243
4.81221,3.95768
4.84424,4.96974
4.83986,4.65481
4.85824,5.26486
4.85056,5.43107
4.87338,4.33268
4.79087,5.3359
4.86535,4.52129
4.80339,4.25285
4.84448,4.29393
4.9861,5.12911
4.889,4.13974
4.89568,5.56552
4.94763,4.58613
4.90326,5.07876
4.92021,3.78679
4.99874,4.48924
4.98877,5.01878
4.93864,5.61506
4.99894,4.72846
4.50663,6.11556
4.54204,6.25963
4.59437,7.11633
4.52123,6.76959
4.51199,6.51044
4.715,7.4916
4.71647,6.57958
4.64752,6.17369
4.68598,5.9479
4.71705,6.07344
4.85574,7.43667
4.8389,5.74325
4.83219,7.3787
4.79163,7.44371
4.76327,6.7704
4.84903,6.45958
4.76392,7.12264
4.82294,6.56473
4.79753,6.15611
4.96341,6.5084
4.93689,7.15185
4.96632,6.77992
4.98807,6.43088
4.99945,5.90467
4.8777,6.5191
4.97402,6.22311
4.90704,5.69321
5.05237,3.5275
5.04181,3.44456
5.02954,3.51989
5.13007,3.5874
5.19002,3.57451
5.42767,3.62128
5.02043,5.57482
5.03546,4.99226
5.02956,4.74341
5.03867,4.03615
5.03243,4.3692
5.04501,4.59829
5.07661,4.04635
5.05916,4.4015
5.01073,4.43073
5.23709,4.65704
5.14221,4.37804
5.23599,5.16559
5.24885,4.08093
5.15404,3.79717
5.25174,5.36159
5.3235,4.17097
5.30947,5.01696
5.32107,5.2496
5.33773,5.4142
5.43363,3.82051
5.47753,5.43353
5.39138,5.21748
5.45517,5.09711
5.42155,5.30927
5.47079,4.4691
5.42071,4.19673
5.03075,6.60724
5.05356,7.2106
5.03544,6.129
5.08219,6.79976
5.03138,6.70021
5.12456,6.29883
5.01593,5.97629
5.10604,7.30233
5.10097,6.09941
5.1053,6.72775
5.02038,7.27087
5.13101,7.15918
5.1252,7.00533
5.17967,6.90023
5.21369,6.64326
5.18691,6.58246
5.19874,5.71605
5.2335,7.11927
5.27999,6.55484
5.27915,6.46759
5.33439,7.45131
5.32958,6.68373
5.367,7.01413
5.34533,7.39614
5.31584,6.03359
5.44634,6.92448
5.37507,7.17505
5.3764,6.42002
5.49462,6.82794
5.46357,6.47815
5.45364,6.96635
5.44779,6.47298
5.54238,3.43832
5.51994,3.59842
5.57518,3.69891
5.51307,3.52744
5.63922,3.54331
5.68127,3.48753
5.71463,3.56598
5.7715,3.72948
5.56638,5.48327
5.52733,4.53565
5.6249,3.89311
5.54873,4.51328
5.58151,4.45323
5.55593,4.10023
5.64297,4.9827
5.73544,4.84958
5.6798,3.82972
5.64177,4.07789
5.87331,5.30421
5.84751,3.8291
5.80419,3.89895
5.94261,4.77018
5.92705,5.60588
5.88032,4.40974
5.96496,5.42218
5.96449,4.84712
5.55033,7.18625
5.53277,5.76357
5.55878,6.96189
5.57234,6.94315
5.5344,6.01601
5.61542,6.64947
5.55524,5.81971
5.52103,5.66289
5.71272,5.84451
5.68891,6.09538
5.74672,6.11843
5.73197,7.40512
5.66633,7.1418
